id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
2,-1,scatter,0.2,0.15,trig,data/P2/trig/scatter/S0.15m-0.2.png,,-0.23,,,65
2,1,area,0.8,0.05,line,data/P2/line/area/S0.05m0.8.png,,0.85,,,66
2,-1,area,0.1,0.05,line,data/P2/line/area/S0.05m-0.1.png,,-0.02,,,67
2,-1,area,0.8,0.05,quad,data/P2/quad/area/S0.05m-0.8.png,,-0.82,,,68
2,-1,area,0.4,0.05,line,data/P2/line/area/S0.05m-0.4.png,,-0.47,,,69
2,1,area,0.1,0.05,quad,data/P2/quad/area/S0.05m0.1.png,,0.15,,,70
2,1,area,0.2,0.05,line,data/P2/line/area/S0.05m0.2.png,,0.23,,,71
2,1,area,0.4,0.05,trig,data/P2/trig/area/S0.05m0.4.png,,0.45,,,72
2,-1,area,0.2,0.05,trig,data/P2/trig/area/S0.05m-0.2.png,,-0.28,,,73
2,1,area,0.8,0.1,line,data/P2/line/area/S0.1m0.8.png,,0.81,,,74
2,-1,area,0.1,0.1,line,data/P2/line/area/S0.1m-0.1.png,,-0.05,,,75
2,-1,area,0.8,0.1,line,data/P2/line/area/S0.1m-0.8.png,,-0.74,,,76
2,-1,area,0.4,0.1,quad,data/P2/quad/area/S0.1m-0.4.png,,-0.5,,,77
2,1,area,0.1,0.1,quad,data/P2/quad/area/S0.1m0.1.png,,0.12,,,78
2,1,area,0.2,0.1,line,data/P2/line/area/S0.1m0.2.png,,0.2,,,79
2,1,area,0.4,0.1,line,data/P2/line/area/S0.1m0.4.png,,0.43,,,80
2,-1,area,0.2,0.1,line,data/P2/line/area/S0.1m-0.2.png,,-0.14,,,81
2,1,area,0.8,0.2,trig,data/P2/trig/area/S0.2m0.8.png,,0.87,,,82
2,-1,area,0.1,0.2,line,data/P2/line/area/S0.2m-0.1.png,,0,,,83
2,-1,area,0.8,0.2,trig,data/P2/trig/area/S0.2m-0.8.png,,-0.86,,,84
2,-1,areatrend,0.4,0.2,line,data/P2/line/areatrend/S0.2m-0.4.png,1,-0.39,,,85
2,-1,area,0.4,0.2,trig,data/P2/trig/area/S0.2m-0.4.png,,-0.47,,,86
2,1,area,0.1,0.2,line,data/P2/line/area/S0.2m0.1.png,,0.17,,,87
2,1,area,0.2,0.2,trig,data/P2/trig/area/S0.2m0.2.png,,0.35,,,88
2,1,area,0.4,0.2,line,data/P2/line/area/S0.2m0.4.png,,0.44,,,89
2,-1,area,0.2,0.2,line,data/P2/line/area/S0.2m-0.2.png,,-0.07,,,90
